Finnish,Russian
on,является
ei,Нет
ja,и
se,это
hän,он
mitä,что
en,я не делаю
että,что
ole,быть
olen,Я
niin,так
mutta,но
vain,только
sen,его
minä,я
oli,был
jos,если
tämä,этот
sinä,ты
nyt,сейчас
voi,масло
olet,являются
kun,когда
sitä,а
kuin,чем
he,они
täällä,здесь
minun,мой
kaikki,все
hänen,его
et,нет
ovat,являются
hyvä,хороший
olla,быть
minua,мне
sinun,твой
sinua,ты
älä,область
kyllä,Да
sitten,затем
onko,ли
miksi,почему
hänet,ему
mitään,что-либо
hei,Привет
mikä,Что
siitä,оттуда
kiitos,Спасибо
miten,как
ne,они
olisi,должен
joka,который
minulle,мне
tässä,здесь
kanssa,с
tai,или
missä,где
pitää,держать
tiedä,знать
minulla,мне
tuo,что
jotain,что-нибудь
minut,мне
ollut,был
sinulle,для тебя
me,мы
sinut,Тебе
häntä,ему
oletko,Ты
tämän,этот
kuka,ВОЗ
meidän,наш
olemme,являются
vielä,еще
hyvin,очень
tänne,здесь
anteeksi,Извини
jo,уже
tiedän,Я знаю
koska,потому что
tehdä,делать
ehkä,возможно
täytyy,должен
anna,позволять
tule,Приходить
haluan,Я хочу
pois,выключенный
emme,мы - нет
kuinka,как
siellä,там
herra,Мистер.
takaisin,назад
tätä,этот
sinulla,у вас есть
paljon,много
selvä,прозрачный
eivät,нет
saa,погода
tulee,приходит
siinä,там
juuri,только
ennen,до
yksi,один
pitäisi,должен
enää,больше
te,ты
koskaan,всегда
eikö,нет
aina,всегда
mennä,идти
mistä,откуда
meillä,в нашем доме
kaksi,два
vai,или
koko,размер
joten,так
aivan,верно
mene,идти
näin,таким образом
no,Хорошо
joku,кто-то
halua,желание
tästä,отсюда
hänelle,ему
oikein,правильно
mies,мужчина
tietää,знать
olin,Я был
todella,Действительно
kunnossa,хорошо
aika,время
olette,являются
teet,делать
kuten,нравиться
voin,масло
totta,истинный
siihen,это
entä,что
edes,по меньшей мере
ulos,вне
vähän,маленький
hyvää,хороший
aikaa,время
katso,Смотреть
voit,ты можешь
isä,отец
kai,вероятно
kukaan,любой
pahoillani,извини
haluat,вы хотите
siis,поэтому
kiinni,Закрыто
pidä,держать
heidän,их
itse,себя
minusta,мне
ihan,довольно
tulla,становиться
noin,о
päästä,будет выпущен
teidän,Ваш
vaan,но
äiti,Мама
kaiken,все
sillä,для
myös,также
kerro,рассказывать
eikä,и не
tee,чай
sanoi,сказал
mennään,пойдем
mukaan,к
ettei,чтобы
tänään,сегодня
sinusta,о вас
odota,Ждать
meitä,нас
hänellä,на его или ее
liian,слишком
niitä,их
nämä,эти
ota,брать
etkö,не так ли
näyttää,показывать
auttaa,помощь
taas,снова
jälkeen,после
puhua,разговаривать
haluatko,Вы хотите
meidät,нас
täältä,отсюда
tiedät,ты знаешь
sinne,там
kotiin,дом
kolme,три
vuotta,год
jotka,что
muuta,что-нибудь еще
luoja,Создатель
nähdä,видеть
vaikka,хотя
antaa,давать
heti,немедленно
tapahtui,случилось
menee,идет
tähän,здесь
ette,нет
olevan,быть
ilman,бесплатно
tuli,огонь
teitä,ты
sanoa,сказать
tiedätkö,вы знаете
heidät,их
saat,Вы получаете
tuolla,там
poika,сын
saada,получать
tarvitse,необходимость
sisään,в
kertoa,рассказывать
nähnyt,воспринимается виден
varmasti,конечно
usko,вера
tuon,что
haluaa,пожелания
teen,делать
sanoin,сказал
heitä,их
vastaan,против
tekee,делает
varma,конечно
jonka,кому
ikinä,всегда
kuollut,мертвый
enemmän,более
tehnyt,сделанный
pian,скоро
rakastan,Я люблю
teille,ты
hienoa,иметь штраф
sir,сэр
minne,где
meille,нас
voimme,мы можем
hänestä,от него
tappaa,убийство
asia,вещь
tarvitsen,мне нужно
joo,Ага
mihin,где
luulin,я думал
kulta,золото
tapahtuu,происходить
sano,высказывание
varmaan,воля
ottaa,брать
teidät,ты
sain,я получил
olit,вы были
voisi,мог
tuota,делать
takia,из-за
kerran,один раз
käy,бегать
oikeassa,верно
tulen,Я буду
ajan,я еду
pidän,Мне нравится
ihmiset,люди
lopeta,конец
kauan,длинный
tällä,мост
toinen,второй
ylös,вверх
alas,вниз
valmis,готовый
tyttö,девочка
okei,хорошо
lähteä,идти
yhdessä,вместе
älkää,начинать
hauskaa,веселье
yhtä,в равной степени
teillä,у тебя
juttu,вещь
tohtori,врач
hieman,немного
olivat,были
luulen,Я думаю
rouva,Миссис
pitänyt,сохраняется
menen,я пойду
rahaa,деньги
piti,сохраняется
kuuntele,слушать
apua,Помощь
joskus,иногда
olisin,Я был бы
enkä,и не
lisää,более
siksi,потому что
niinkö,Действительно
yhä,все еще
ainoa,только
teki,сделал
voinut,невозможно
myöhemmin,позже
silloin,затем
sanoit,Вы сказали
päivää,день
kertaa,времена
yksin,один
nainen,женщина
nähdään,Увидимся
paska,дерьмо
jonkun,кто-нибудь
ensin,первый
huomenna,завтра
yhden,один
tavata,встретиться
odottaa,ожидать
tuntuu,чувствовать
jota,кому
www,www
uusi,новый
jotta,так
parempi,лучше
vie,брать
ohi,прошлое
pari,пара
milloin,Когда
saan,я получил
meni,шел
hetki,мгновенный
ketään,любой
paras,лучший
etten,нет
pieni,маленький
paikka,место
mikään,любой
ihmisiä,люди
minäkin,я тоже
teit,ты сделал
nopeasti,быстро
kaveri,парень
tosi,истинный
saanut,ходил
ymmärrä,понимать
Jack,Джек
pyydän,Пожалуйста
jotakin,что-нибудь
tarpeeksi,достаточно
ajattelin,Я думал о
viime,последний
irti,свободный
alkaa,начинать
oletteko,ты
isäni,мой отец
pysy,постоянный
minkä,что
tulossa,в ожидании
tarkoittaa,иметь в виду
yli,над
viisi,пять
sai,усталый
oikea,верно
kuuluu,принадлежать
miehen,мужской
osaa,может
muista,помнить
kanssasi,с тобой
tulkaa,Ну давай же
haluaisin,Я хотел бы
senkin,несмотря на это
tein,делал
vanha,старый
teemme,мы сделаем
voinko,Могу я
tahansa,любой
kyse,точка
oliko,Делал
hiljaa,замолчи
minuun,мне
iso,главный
läpi,через
yritän,я постараюсь
voisin,Я мог бы
ymmärrän,Я понимаю
neiti,скучать
kiltti,добрый
heille,их
tullut,становиться
John,Джон
halusin,я хотел
asioita,такие вещи
kunnes,до
asiaa,вещь
menossa,на
täysin,полностью
otan,брать
luulet,Вы думаете
puhu,разговаривать
riittää,достаточно
hitto,двойка
ettet,Вы этого не делаете
neljä,четыре
kohta,параграф
silti,все еще
tarkoitan,Я имею в виду
jumala,Бог
dollaria,доллары
jokin,один
luuletko,Ты думаешь
löytää,находить
poissa,Отсутствующий
minuuttia,минуты
nimi,имя
olisit,ты будешь
hyvältä,хороший
miltä,какого рода
menkää,идти
mukana,с
asti,до
pysty,в вертикальном положении
sama,такой же
soittaa,вызов
isäsi,твой отец
ensimmäinen,первый
jossa,где
kaunis,красивый
käyttää,использовать
vittu,Блядь
näen,Я понимаю
tarkoitat,ты имеешь в виду
kapteeni,капитан
melkein,почти
rahat,деньги
muuten,в противном случае
kello,Часы
helvetti,ад
yrittää,пытаться
nuo,те
toivottavasti,с надеждой
tulin,я пришел
tänä,на этом
mukava,хороший
kerron,Я вам скажу
oikeasti,серьезно
poliisi,полиция
vasta,только
kuoli,умер
pikku,маленький
näytä,показывать
tunnen,я чувствую
sanoo,говорит
vauhtia,шаг
kanssani,со мной
siltä,мост
sieltä,оттуда
valmiina,наготове
tunne,чувство
saanko,могу я
kuullut,слышал
tiennyt,известен
vuoden,год
tapa,способ
ainakin,по меньшей мере
puhut,вы говорите
uskoa,полагать
suoraan,напрямую
niistä,там
sait,ты получил
kuulin,Я слышал
varten,для
katsokaa,смотреть
hullu,сумасшедший
haloo,Привет
kuulostaa,звук
tarvitsemme,нам нужно
auta,помощь
näytät,ты выглядишь как
meistä,из нас
kuitenkin,однако
sellaista,как это
voitte,ты можешь
hieno,отлично
asiat,вещи
olkaa,быть
ystäväni,мой друг
pojat,мальчики
muut,другой
halunnut,желанный
töitä,работа
auto,машина
samaa,одинаковый
päivän,день
hyvät,хороший
kanssaan,с его
